"","AABR07034445.1","AABR07060746.1","AC121209.1","AC129753.1","AC135400.1","Adamts14","Adamts8","Adgrf5","Adprm","Akap9","Alkbh8","Als2cr12","Ambn","Amt","Amy1a","Ap5m1","Arhgap15","Arhgap4","Armc6","Astn2","Atad2","Atad2b","Atcay","Atf4","Atp1b4","Atp2a3","Atp2b2","Bbs1","Best2","Brd8","Btaf1","Btbd17","Cacnb3","Casp14","Ccdc115","Ccdc190","Ccm2","Cdca8","Cebpa","Cebpe","Cfap206","Cfap97","Chsy1","Clcnkb","Clstn3","Cltb","Cnbd2","Cntn1","Cntrob","Col16a1","Col3a1","Col4a3","Cops7b","Cpeb2","Crnn","Cryzl1","Ctcfl","Ctdp1","Cubn","Cyp21a1","Dab2","Ddx50","Dhx29","Dnah8","Dpy19l3","Dyrk3","Echdc3","Eda","Eef1a1","Eef1e1","Eef1g","Efs","Eif2ak4","Elac2","Exosc10","Exph5","F2rl3","F8a1","Fadd","Fam115e","Fam189b","Fam227b","Fam26d","Fam63b","Fam91a1","Fap","Fermt1","Foxo4","Fuk","G6pd","Gprin3","Gtpbp2","H2afy2","Hes7","Hnrnpm","Ide","Igfbp2","Il1rl1","Il2rg","Impg1","Itfg1","Jun","Kank2","Kdm3a","Kif20a","Klrk1","Lin7b","LOC100361993","LOC100362400","LOC498265","LOC499796","LOC500684","LOC688906","Lrpprc","Lrrc45","Lrrc69","Lrrk1","Man1a2","Mapkapk5","Mapkbp1","Mark2","Mavs","Mecom","Med12","Mex3c","Mfrp","Mfsd3","Mki67","Mrps28","Mtnr1b","Mtss1","Myh14","Nebl","Necab2","Nfkb1","Ngdn","Nktr","Nme6","Noa1","Ntng2","Nudt21","Nufip2","Olr106","Olr1236","Olr1305","Olr1311","Olr1349","Olr1414","Olr1432","Olr1515","Olr158","Olr1596","Olr1643","Olr1645","Olr1696","Olr502","Olr595","Olr611","Olr630","Olr67","Orai2","Otol1","Oxsm","Panx1","Pcdh1","Pced1b","Pdss2","Phlpp2","Pias1","Picalm","Pif1","Plekha1","Pogz","Polg","Ppidl1","Prcc","Prcp","Prdm6","Prdx4","Proser1","Prr22","Rasip1","Rassf7","Rbmx2","Reep6","RGD1305464","RGD1311892","RGD1560073","RGD1560110","RGD1562963","RGD1563562","Rgl2","Rilpl1","Rnf19a","Rpl4","Rpn2","Rps6kb2","Rrbp1","RT1-M3-1","Rundc1","Rundc3b","Samd4b","Scn5a","Serpinb1a","Serpinf2","Sh3bp1","Shc2","Skap2","Skint1","Slc15a2","Slc20a1","Slc22a8","Sowahc","Sp9","Spice1","Swap70","Tbc1d8b","Tdrd6","Tfap2e","Tlr4","Tmem106a"
"C1R-tumor","","","","","Frame_Shift_Ins","","Missense_Mutation","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","Nonsense_Mutation","","Missense_Mutation","","","","","","","","Missense_Mutation","Missense_Mutation","","","","","","Missense_Mutation","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","Missense_Mutation","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","Frame_Shift_Del","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","Missense_Mutation","","","","","","","","","","Missense_Mutation","","","","","","","Nonsense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2N-tumor","","","","","Frame_Shift_Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","Missense_Mutation","","","","Missense_Mutation","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","Splice_Site","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","Missense_Mutation","","","","","","","","Frame_Shift_Del","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","Missense_Mutation","","","","","","","","","","","","","","","","Nonsense_Mutation","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","",""
"C2R1-tumor","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","Nonsense_Mutation","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","Missense_Mutation","","Missense_Mutation","","","","","","","Missense_Mutation","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","Missense_Mutation","","","","","","","Missense_Mutation","Missense_Mutation, Missense_Mutation","","","","","","","","","","","","","","","","","","","","Nonsense_Mutation","","","","","","","","Missense_Mutation","","","","","Missense_Mutation","","","","","","","","","","Missense_Mutation","","",""
"C2R2-tumor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","Missense_Mutation","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","","","","","","","","","","","","","","","","Nonsense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2R3-tumor","","Missense_Mutation","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","Missense_Mutation","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","Missense_Mutation","","","","","","","","","","Missense_Mutation","","","","","","","Missense_Mutation","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","","","","","","Missense_Mutation","Missense_Mutation","Missense_Mutation","","Missense_Mutation","","","","","","Nonsense_Mutation","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","",""
"C4P-tumor","","","","","Frame_Shift_Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","Splice_Site","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","Frame_Shift_Del","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","Missense_Mutation","","","","","","","","","","","","","","","Nonsense_Mutation","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","",""
"D11N-tumor","","","","","Frame_Shift_Ins","","","Splice_Site","","Nonsense_Mutation","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","Missense_Mutation","Missense_Mutation","","","","","","","","","","Missense_Mutation","","","","Missense_Mutation","Missense_Mutation","","Missense_Mutation","","","Missense_Mutation","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","Splice_Site","","Missense_Mutation, Missense_Mutation","","","","","","","","","","","","Missense_Mutation","","","","","","","","","Missense_Mutation","","","","Missense_Mutation","","","","","Missense_Mutation","","","Frame_Shift_Del","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","Missense_Mutation","","","","Missense_Mutation","","","","","","","","","","","","","","","Nonsense_Mutation","","","","","","","","","","Missense_Mutation","","","","Missense_Mutation","","Splice_Site","","","","","","","","","",""
"D14R-tumor","","","","","Frame_Shift_Ins","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","Missense_Mutation","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","Missense_Mutation","","","","Missense_Mutation","","Missense_Mutation","","","","","","Missense_Mutation, Missense_Mutation, Missense_Mutation","","","","","Missense_Mutation","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","Splice_Site","","Missense_Mutation","","","","","","Missense_Mutation","","","Missense_Mutation","","","Missense_Mutation","","","","","","","","","","","","","Missense_Mutation","","","","","","","","Frame_Shift_Del","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","Missense_Mutation","Missense_Mutation","","","","","","Missense_Mutation, Missense_Mutation","","Missense_Mutation","Missense_Mutation","","","","","","","","","","","","","","","","","Nonsense_Mutation","","Missense_Mutation","","","","","","","","","","","","Missense_Mutation","","","Missense_Mutation","","","","","","","","",""
"D16N-tumor","","","Missense_Mutation","","Frame_Shift_Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","Missense_Mutation","","","","Missense_Mutation","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","Missense_Mutation","","","","","","","","","","","","","","Missense_Mutation","","","","","","","Missense_Mutation","Missense_Mutation","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","Missense_Mutation","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","Missense_Mutation","Missense_Mutation, Missense_Mutation","","","","","","","","","","","","","","","","","","","","Nonsense_Mutation","","","Missense_Mutation","","","","","","","","","","","","","","","Missense_Mutation","Missense_Mutation","","","","","","",""
"D16N2-tumor","","","","","Frame_Shift_Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","","Missense_Mutation","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","Missense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation, Missense_Mutation","","","","","","","","","","","Missense_Mutation","","","","","","","","","Nonsense_Mutation","","","","","","","","","","","","","","","","","","","","","","","","Missense_Mutation","",""
